name,country,year,regime,gdppc,investment,growth,hinst,agehinst,ginig,britcol,oil,ethnic,openk,majgov,govsh
Turkey,125,1995,Democracy,5846,21.75,5.5,Parliamentary democracies,13,,Not British colony,Not oil-producer,87,43.57,Minority govt,.33000001
United Kingdom,126,1995,Democracy,17495,18.02,2.4200001,Parliamentary democracies,85,,Not British colony,Not oil-producer,94,55.68,Majority govt,.51999998
Australia,129,1995,Democracy,18602,22.879999,3.0999999,Parliamentary democracies,95,,Not British colony,Not oil-producer,96,37.099998,Majority govt,.54000002
Fiji,130,1995,Autocracy,,10.17,,Military dictatorships,9,,British colony,Not oil-producer,50,113.93,,
New Zealand,131,1995,Democracy,15031,23.129999,2.55,Parliamentary democracies,89,,Not British colony,Not oil-producer,90,55.029999,Majority govt,.50999999
Papua New Guinea,132,1995,Democracy,,9.0600004,,Parliamentary democracies,21,,British colony,Not oil-producer,83,98.510002,Minority govt,.28
Solomon Islands,133,1995,Democracy,,-999,,Parliamentary democracies,18,,British colony,Not oil-producer,93,,Minority govt,.44999999
Vanuatu,134,1995,Democracy,,-999,,Parliamentary democracies,16,,Not British colony,Not oil-producer,94,,,
Western Samoa,135,1995,Autocracy,,-999,,Monarchical dictatorships,34,,Not British colony,Not oil-producer,89,,,
Bahrain,136,1995,Autocracy,4540,-999,1.3200001,Monarchical dictatorships,25,,British colony,Oil-produced,67.09999999999999,,,
Kuwait,137,1995,Autocracy,12454,-999,-3.25,Monarchical dictatorships,35,,British colony,Oil-produced,78,,,
Oman,138,1995,Autocracy,7161,-999,1.27,Monarchical dictatorships,45,,British colony,Oil-produced,73.5,,,
Qatar,139,1995,Autocracy,6103,-999,-1.72,Monarchical dictatorships,25,,British colony,Oil-produced,40,,,
Saudi Arabia,140,1995,Autocracy,8671,-999,-3.1099999,Monarchical dictatorships,50,,Not British colony,Oil-produced,90,,,
United Arab Emirates,141,1995,Autocracy,13995,-999,5.8899999,Monarchical dictatorships,25,,British colony,Oil-produced,25,,,
Afghanistan,142,1995,Autocracy,498,-999,19.42,Civilian dictatorships,23,,Not British colony,Not oil-producer,38,,,
Albania,143,1995,Democracy,2256,13,11.96,Mixed democracies,4,,Not British colony,Not oil-producer,98,45.41,Majority govt,.87
Antigua,144,1995,Democracy,,18.379999,,Parliamentary democracies,15,,British colony,Not oil-producer,91.3,185.32001,Majority govt,.64999998
Armenia,145,1995,Democracy,3169,10.67,7.7199998,Mixed democracies,1,,Not British colony,Not oil-producer,93.3,81.93,,
Nauru,146,1995,Democracy,,-999,,Parliamentary democracies,28,,British colony,Not oil-producer,,,,
Azerbaijan,147,1995,Autocracy,1832,11.22,-12.47,Civilian dictatorships,5,,Not British colony,Not oil-producer,89,63.57,,
Bhutan,148,1995,Autocracy,,-999,,Monarchical dictatorships,101,,British colony,Not oil-producer,50,,,
Belarus,149,1995,Autocracy,4749,17.24,-10.53,Civilian dictatorships,5,28.530001,Not British colony,Not oil-producer,65.59999999999999,80.779999,,
Bosnia-Herzegovina,150,1995,Autocracy,2364,-999,16.969999,Civilian dictatorships,5,,Not British colony,Not oil-producer,49.2,,,
Brunei,151,1995,Autocracy,,-999,,Monarchical dictatorships,12,,British colony,Oil-produced,67.09999999999999,,,
Cambodia,152,1995,Autocracy,973,4.6900001,3.8399999,Civilian dictatorships,5,,Not British colony,Not oil-producer,88.59999999999999,84.580002,,
Croatia,153,1995,Democracy,5392,12.08,7.5799999,Mixed democracies,5,,Not British colony,Not oil-producer,78.09999999999999,86.279999,Majority govt,.58999997
Cuba,154,1995,Autocracy,1925,1.3,2.8900001,Civilian dictatorships,37,,Not British colony,Not oil-producer,51,29.07,,
Czech Republic,155,1995,Democracy,8464,24.780001,5.96,Parliamentary democracies,3,,Not British colony,Not oil-producer,81.2,104.69,Majority govt,.52999997
Slovak Republic,156,1995,Democracy,6571,22.4,6.1700001,Parliamentary democracies,3,,Not British colony,Not oil-producer,85.7,118.43,Majority govt,.55000001
Dominica,157,1995,Democracy,,13.94,,Parliamentary democracies,18,,British colony,Not oil-producer,89.09999999999999,114.19,Majority govt,.51999998
Equatorial Guinea,158,1995,Autocracy,2036,33.650002,11.38,Military dictatorships,17,,Not British colony,Not oil-producer,82.90000000000001,128.36,,
Estonia,159,1995,Democracy,8274,12.95,5.4000001,Parliamentary democracies,5,40.369999,Not British colony,Not oil-producer,63.9,133.75999,Majority govt,.58999997
Eritrea,160,1995,Autocracy,,-999,,Civilian dictatorships,3,,Not British colony,Not oil-producer,49,,,
Georgia,161,1995,Autocracy,2209,-999,4,Civilian dictatorships,5,,Not British colony,Not oil-producer,70.09999999999999,30.23,,
Kazakhstan,162,1995,Autocracy,4429,10.63,-8.0500002,Civilian dictatorships,5,,Not British colony,Not oil-producer,47.4,58.560001,,
Kiribati,163,1995,Democracy,,-999,,Parliamentary democracies,17,,British colony,Not oil-producer,97.40000000000001,,,
"Korea, North (Dem. Rep.)",164,1995,Autocracy,1519,-999,-17.85,Civilian dictatorships,2,,Not British colony,Not oil-producer,99.8,,,
Kyrgyzstan,165,1995,Autocracy,1772,7.9499998,-5.1900001,Civilian dictatorships,5,,Not British colony,Not oil-producer,59.7,84.690002,,
Latvia,166,1995,Democracy,5189,10.08,.34999999,Parliamentary democracies,5,,Not British colony,Not oil-producer,55.1,90.540001,Majority govt,.73000002
Lebanon,167,1995,Autocracy,3251,16.860001,5.1100001,Civilian dictatorships,7,,Not British colony,Not oil-producer,93,68.129997,,
Lithuania,168,1995,Democracy,5055,13.46,3.5599999,Mixed democracies,5,,Not British colony,Not oil-producer,81.59999999999999,117.07,Majority govt,.51999998
Macedonia,169,1995,Democracy,2930,13.06,-1.25,Parliamentary democracies,5,,Not British colony,Not oil-producer,66.5,75.709999,Majority govt,.88
Maldive Islands,170,1995,Autocracy,,-999,,Civilian dictatorships,28,,British colony,Not oil-producer,100,,,
Moldova,171,1995,Autocracy,2398,10.15,-1.3200001,Civilian dictatorships,5,,Not British colony,Not oil-producer,62,99.510002,,
Namibia,172,1995,Democracy,3604,10.45,1.4400001,Presidential democracies,6,,Not British colony,Not oil-producer,50.7,109.06,Majority govt,.74000001
Russia,173,1995,Democracy,4773,17.32,-4.0799999,Mixed democracies,5,,Not British colony,Not oil-producer,86.59999999999999,44.279999,,
St. Lucia,174,1995,Democracy,,10.63,,Parliamentary democracies,17,,British colony,Not oil-producer,90.5,135.62,Majority govt,.64999998
Sao Tome and Principe,175,1995,Democracy,1284,17.32,-1.15,Mixed democracies,5,,Not British colony,Not oil-producer,,128.62,,
Slovenia,176,1995,Democracy,10987,23.049999,3.75,Parliamentary democracies,5,,Not British colony,Not oil-producer,87.8,112.83,Majority govt,.61000001
Somaliland,177,1995,Autocracy,,-999,,Civilian dictatorships,5,,British colony,Not oil-producer,,,,
St. Kitts and Nevis,179,1995,Democracy,,18.209999,,Parliamentary democracies,13,,British colony,Not oil-producer,94.90000000000001,126.43,Majority govt,.63999999
St. Vincent,180,1995,Democracy,,9.6599998,,Parliamentary democracies,17,,British colony,Not oil-producer,82,119.71,Majority govt,.80000001
Tajikistan,181,1995,Autocracy,967,-999,-13.89,Civilian dictatorships,5,,Not British colony,Not oil-producer,62.2,,,
Turkmenistan,182,1995,Autocracy,2046,-999,-9.0699997,Civilian dictatorships,5,,Not British colony,Not oil-producer,77,,,
Ukraine,183,1995,Democracy,2895,10.95,-11.52,Mixed democracies,5,,Not British colony,Not oil-producer,64.7,84.349998,,
Tonga,184,1995,Autocracy,,-999,,Monarchical dictatorships,26,,British colony,Not oil-producer,95.5,,,
Uzbekistan,185,1995,Autocracy,3071,13.75,-4.7199998,Civilian dictatorships,5,,Not British colony,Not oil-producer,75.8,61.84,,
Vietnam,186,1995,Autocracy,1397,13.65,7.71,Civilian dictatorships,20,,Not British colony,Not oil-producer,87.09999999999999,78.199997,,
Greek Cyprus,188,1995,Democracy,,20.34,,Presidential democracies,13,,British colony,Not oil-producer,95.09999999999999,96.370003,,
"Micronesia, Federated States of",189,1995,Democracy,,-999,,Presidential democracies,5,,Not British colony,Not oil-producer,46.7,,,
Republic of Yemen,190,1995,Autocracy,2328,6.1900001,7.3800001,Military dictatorships,6,,British colony,Not oil-producer,100,49.790001,,
Germany,191,1995,Democracy,-1725,23.98,1.4299999,Parliamentary democracies,47,,Not British colony,Not oil-producer,91.09999999999999,47.959999,Majority govt,.50999999
Yugoslavia2,192,1995,Autocracy,2311,-999,4.3299999,Civilian dictatorships,5,,Not British colony,Not oil-producer,62.6,,,
Libya,193,1995,Autocracy,2321,-999,-1.78,Military dictatorships,27,,Not British colony,Oil-produced,79,,,
Ethiopia2,194,1995,Autocracy,,4.77,,Civilian dictatorships,126,,Not British colony,Not oil-producer,,37.77,,
Andorra,195,1995,Democracy,,-999,,Parliamentary democracies,3,,Not British colony,Not oil-producer,44.4,,Minority govt,.5
Liechtenstein,196,1995,Democracy,,-999,,Parliamentary democracies,6,,Not British colony,Not oil-producer,62.4,,Majority govt,.95999998
Marshall Islands,197,1995,Democracy,,-999,,Presidential democracies,5,,Not British colony,Not oil-producer,96.90000000000001,,,
Palau,198,1995,Democracy,,-999,,Presidential democracies,2,,Not British colony,Not oil-producer,,,,
San Marino,199,1995,Democracy,,-999,,Presidential democracies,80,,Not British colony,Not oil-producer,83.09999999999999,,,
